Master,2024,,,,No. Scenes,278
,,,,,Complete,11
,,,,,% Complete,3.96%
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Ecuador,2024,,,,No. Scenes,6
,,,,,Complete,0
,,,,,% Complete,0.00%
Path/Row,Analyst,Date Completed,,,,
10_59,,,,,,
10_62,Eli,,,,,
11_59,,,,,,
11_60,Annan,,,,,
11_61,Adlai,,,,,
11_62,Ben,,,,,
,,,,,,
Total,,Total,,,,
6,,0,,,,
,,,,,,
,,,,,,
,,,,,,
Indonesia,2024,,,,No. Scenes,200
,,,,,Complete,6
,,,,,% Complete,3.00%
Path/Row,Analyst,Date Completed,,,,
100_65,,,,,,
100_66,,,,,,
101_62,,,,,,
101_64,,,,,,
101_65,,,,,,
101_66,,,,,,
102_61,,,,,,
102_62,,,,,,
102_63,,,,,,
102_64,,,,,,
102_65,,,,,,
102_66,,,,,,
103_61,,,,,,
103_62,,,,,,
103_63,,,,,,
103_64,Tammy,2/12/25,,,,
104_61,,,,,,
104_62,,,,,,
104_63,,,,,,
104_64,,,,,,
104_65,,,,,,
105_60,Tammy,2/12/25,,,,
105_61,,,,,,
105_62,,,,,,
105_63,,,,,,
105_64,,,,,,
105_65,,,,,,
106_60,,,,,,
106_61,,,,,,
106_62,,,,,,
106_63,,,,,,
106_64,,,,,,
106_65,,,,,,
106_66,,,,,,
107_60,,,,,,
107_61,,,,,,
107_62,,,,,,
107_63,,,,,,
107_65,,,,,,
107_66,,,,,,
108_60,,,,,,
108_61,,,,,,
108_62,,,,,,
108_63,,,,,,
108_65,,,,,,
108_66,,,,,,
109_58,,,,,,
109_59,,,,,,
109_60,,,,,,
109_61,,,,,,
109_62,,,,,,
109_63,,,,,,
109_65,,,,,,
109_66,,,,,,
110_58,,,,,,
110_59,,,,,,
110_60,,,,,,
110_61,,,,,,
110_62,,,,,,
110_63,,,,,,
110_65,,,,,,
110_66,,,,,,
110_67,,,,,,
111_57,,,,,,
111_58,,,,,,
111_59,,,,,,
111_61,,,,,,
111_64,,,,,,
111_65,,,,,,
111_66,,,,,,
111_67,,,,,,
111_68,,,,,,
112_57,,,,,,
112_59,,,,,,
112_60,,,,,,
112_61,,,,,,
112_62,,,,,,
112_63,,,,,,
112_64,,,,,,
112_65,,,,,,
112_66,,,,,,
112_67,,,,,,
113_59,,,,,,
113_60,,,,,,
113_61,,,,,,
113_62,,,,,,
113_63,,,,,,
113_64,,,,,,
113_65,,,,,,
113_66,,,,,,
113_67,,,,,,
114_59,,,,,,
114_60,,,,,,
114_61,,,,,,
114_62,,,,,,
114_63,,,,,,
114_64,,,,,,
114_65,,,,,,
114_66,,,,,,
114_67,,,,,,
115_59,,,,,,
115_60,,,,,,
115_61,,,,,,
115_62,,,,,,
115_65,,,,,,
115_66,,,,,,
116_57,,,,,,
116_58,,,,,,
116_59,,,,,,
116_60,,,,,,
116_61,,,,,,
116_62,,,,,,
116_63,,,,,,
116_64,Tammy,2/12/25,,,,
116_65,,,,,,
116_66,,,,,,
117_57,,,,,,
117_58,,,,,,
117_60,,,,,,
117_61,,,,,,
117_62,,,,,,
117_63,,,,,,
117_64,,,,,,
117_65,,,,,,
117_66,,,,,,
118_62,,,,,,
118_63,Tammy,2/12/25,,,,
118_64,,,,,,
118_65,,,,,,
118_66,,,,,,
119_62,,,,,,
119_63,Tammy,2/12/25,,,,
119_64,,,,,,
119_65,,,,,,
119_66,,,,,,
120_62,,,,,,
120_64,,,,,,
120_65,,,,,,
120_66,,,,,,
121_59,,,,,,
121_60,,,,,,
121_61,,,,,,
121_62,,,,,,
121_64,,,,,,
121_65,,,,,,
122_57,Tammy,2/12/25,,,,
122_58,,,,,,
122_59,,,,,,
122_60,,,,,,
122_61,,,,,,
122_62,,,,,,
122_64,,,,,,
122_65,,,,,,
123_57,,,,,,
123_58,,,,,,
123_59,,,,,,
123_60,,,,,,
123_61,,,,,,
123_62,,,,,,
123_63,,,,,,
123_64,,,,,,
123_65,,,,,,
124_58,,,,,,
124_59,,,,,,
124_60,,,,,,
124_61,,,,,,
124_62,,,,,,
124_63,,,,,,
124_64,,,,,,
125_59,,,,,,
125_60,,,,,,
125_61,,,,,,
125_62,,,,,,
125_63,,,,,,
125_64,,,,,,
126_59,,,,,,
126_60,,,,,,
126_61,,,,,,
126_62,,,,,,
126_63,,,,,,
127_58,,,,,,
127_59,,,,,,
127_60,,,,,,
127_61,,,,,,
127_62,,,,,,
128_58,,,,,,
128_59,,,,,,
128_60,,,,,,
128_61,,,,,,
129_57,,,,,,
129_58,,,,,,
129_59,,,,,,
129_60,,,,,,
130_56,,,,,,
130_57,,,,,,
130_58,,,,,,
130_59,,,,,,
131_56,,,,,,
131_57,,,,,,
131_58,,,,,,
,,,,,,
Total,,Total,,,,
200,,6,,,,
,,,,,,
,,,,,,
,,,,,,
Myanmar,2024,,,,No. Scenes,23
,,,,,Complete,2
,,,,,% Complete,8.70%
Path/Row,Analyst,Date Completed,,,,
130_50,,,,,,
130_51,,,,,,
130_52,,,,,,
130_53,,,,,,
130_54,,,,,,
131_48,,,,,,
131_49,,,,,,
131_50,,,,,,
131_51,,,,,,
131_52,,,,,,
132_48,,,,,,
132_49,,,,,,
133_48,,,,,,
133_49,,,,,,
134_46,,,,,,
134_47,,,,,,
134_48,,,,,,
134_49,,,,,,
134_50,Tammy,2/12/25,,,,
135_45,,,,,,
135_46,,,,,,
135_47,Tammy,2/12/25,,,,
136_45,,,,,,
,,,,,,
Total,,Total,,,,
23,,2,,,,
,,,,,,
,,,,,,
,,,,,,
Thailand,2024,,,,No. Scenes,22
,,,,,Complete,0
,,,,,% Complete,0.00%
Path/Row,Analyst,Date Completed,,,,
127_52,,,,,,
127_53,,,,,,
127_55,,,,,,
127_56,,,,,,
128_51,,,,,,
128_52,,,,,,
128_54,,,,,,
128_55,,,,,,
128_56,,,,,,
129_50,,,,,,
129_51,,,,,,
129_52,,,,,,
129_53,,,,,,
129_54,,,,,,
129_55,,,,,,
129_56,,,,,,
130_50,,,,,,
130_51,,,,,,
130_52,,,,,,
130_53,,,,,,
130_54,,,,,,
130_55,,,,,,
,,,,,,
Total,,Total,,,,
22,,0,,,,
,,,,,,
,,,,,,
,,,,,,
Vietnam,2024,,,,No. Scenes,27
,,,,,Complete,3
,,,,,% Complete,11.11%
Path/Row,Analyst,Date Completed,,,,
123_50,,,,,,
123_51,,,,,,
123_52,,,,,,
123_53,Tammy,2/12/25,,,,
124_49,,,,,,
124_50,,,,,,
124_52,,,,,,
124_53,,,,,,
124_54,,,,,,
125_45,,,,,,
125_46,Tammy,2/12/25,,,,
125_48,,,,,,
125_49,,,,,,
125_52,,,,,,
125_53,,,,,,
125_54,,,,,,
126_45,,,,,,
126_46,,,,,,
126_47,,,,,,
126_48,,,,,,
126_53,,,,,,
126_54,,,,,,
127_45,,,,,,
127_46,,,,,,
127_47,,,,,,
127_53,,,,,,
127_54,Tammy,2/12/25,,,,
,,,,,,
Total,,Total,,,,
27,,3,,,,
